App Name,Developer,Genre,In-app Purchases,Interactive Elements,Last Update,Minimum Age,Number of Installations,Number of Reviews,Offered By,Rating,Required Android Version,Size,Version
Google Chrome: Fast & Secure,"Visit website
apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Google LLCCommunication,Completely free,Unrestricted Internet,"June 17, 2020","Rated for 3+
Learn More","5,000,000,000+","21,976,282 total",Google LLC,4.3,Varies with device,Varies with device,Varies with device
Data Science with R & Python Free Offline Tutorial,"Visit website
prakashmeghan@gmail.com
Privacy Policy
2/490, Malviya Nagar, Jaipur, Rajasthan, India",Concept Apps WorldEducation,₹75.00 per item,No Interactive Elements,"May 7, 2020","Rated for 3+
Learn More","5,000+",45 total,Concept Apps World,4.6,4.1 and up,5.2M,2.4-free
Wave Z Live Wallpaper,"Visit website
androidwasabi@gmail.com
Privacy Policy
SUITE 1 SECOND FLOOR EVERDENE HOUSE, BOURNEMOUTH, BH7 7DU",WasabiPersonalization,Completely free,No Interactive Elements,"September 21, 2015","Rated for 12+
Learn More","10,000,000+","63,453 total",Wasabi,4.2,2.3 and up,2.3M,1.1.6
Amma 4 U,"Visit website
wonderfulappz@gmail.com",Wonderful AppsSocial,Completely free,Users Interact,"May 29, 2020","Rated for 3+
Learn More","10,000+",267 total,Wonderful Apps,4.9,4.1 and up,18M,4.2.6
Cardi B Lyrics,"Visit website
hopangga@gmail.com
Privacy Policy",HopanggaEntertainment,Completely free,No Interactive Elements,"June 17, 2020","Rated for 16+
Strong Language
Learn More","5,000+",56 total,Hopangga,4.8,4.1 and up,15M,3.0.0
Dr. Driving,"Visit website
updown.an@gmail.com
Privacy Policy
#404 39, Geomeundeul 3-gil, Seobuk-gu, Cheonan-si, Chungcheongnam-do, Republic of Korea",SUD Inc.Racing,₹122.45 - ₹614.53 per item,In-Game Purchases,"May 31, 2020","Rated for 12+
Mild Swearing
Learn More","100,000,000+","5,716,604 total",SUD Inc.,4.2,4.1 and up,13M,1.58
Dr. Driving 2,"Visit website
updown.an@gmail.com
Privacy Policy
#404 39, Geomeundeul 3-gil, Seobuk-gu, Cheonan-si, Chungcheongnam-do, Republic of Korea",SUD Inc.Racing,"₹120.00 - ₹6,700.00 per item",In-Game Purchases,"May 28, 2020","Rated for 12+
Mild Swearing
Learn More","50,000,000+","630,254 total",SUD Inc.,4.2,4.1 and up,22M,1.43
Ringtones & Wallpapers for Me,"Visit website
support@apalon.com
Privacy Policy
Block D, Iveagh Court Harcourt Road Dublin 2, D02 VH 94 Ireland",Apalon AppsPersonalization,₹249.00 per item,No Interactive Elements,"August 13, 2019","Rated for 3+
Learn More","10,000,000+","93,091 total",Apalon Apps,4.1,4.1 and up,25M,1.14
Eastern Power,"Visit website
mobileapp.apepdcl@gmail.com
Privacy Policy
IT WING, 2ND FLOOR, CORPORATE OFFICE, APEPDCL, VISAKHAPATNAM-530013",APEPDCLBusiness,Completely free,No Interactive Elements,"December 25, 2019","Rated for 3+
Learn More","500,000+","5,015 total",APEPDCL,4.2,4.2 and up,6.6M,4.2
Learn R Programming - Tutorial,"apkzube@gmail.com
Privacy Policy
India",ApkZubeEducation,Completely free,No Interactive Elements,"June 30, 2019","Rated for 3+
Learn More","10,000+",137 total,ApkZube,4.3,4.4 and up,5.4M,1.5
La Pino'z Pizza,"Visit website
info@uengage.in
Privacy Policy
Uengage SCO 11 , First Floor MDC Sector 5 Panchkula 134109 Haryana INDIA",UengageFood & Drink,Completely free,No Interactive Elements,"June 27, 2020","Rated for 3+
Learn More","100,000+","4,316 total",Uengage,3.6,4.4 and up,8.4M,1.5.2
G Plus,"Visit website
mihir.shah@digitalf5.com
Privacy Policy",Insight Brandcom Pvt. Ltd.News & Magazines,Completely free,Users Interact,"March 5, 2019","Rated for 3+
Learn More","50,000+","1,102 total",Insight Brandcom Pvt. Ltd.,3.9,4.0.3 and up,14M,2.1
World of Cricket : World Cup 2019,"Visit website
appon.innovate@gmail.com
Privacy Policy
AppOn Software Pvt Ltd. C 12 Liberty, Phase 2, Northmain road Koregoan park, Pune- 411001, India",AppOn InnovateSports,₹10.00 - ₹299.00 per item,Digital Purchases,"June 2, 2020","Rated for 3+
Learn More","10,000,000+","93,306 total",AppOn Innovate,3.9,4.0 and up,16M,9.7
F-Factor,"Visit website
info@ffactor.com
Privacy Policy","Tanya Zuckerbrot Nutrition, LLCHealth & Fitness",Completely free,No Interactive Elements,"October 30, 2019","Rated for 3+
Learn More","1,000+",26 total,"Tanya Zuckerbrot Nutrition, LLC",2.0,4.4 and up,14M,1.0.13.0
Cardi B Video Call Fake Prank,"Visit website
fonturo@gmail.com
Privacy Policy",FONNOEntertainment,Completely free,No Interactive Elements,"June 21, 2020","Rated for 3+
Learn More","10,000+",23 total,FONNO,4.0,4.3 and up,18M,2.1
101 C Programming Problems,"Visit website
appsfacto@gmail.com
Privacy Policy
Knoxville, Tennessee, USA",AppsFactoEducation,Completely free,No Interactive Elements,"December 4, 2018","Rated for 3+
Learn More","100,000+",566 total,AppsFacto,4.5,4.0.3 and up,5.8M,3.0
Automatic Call Recorder,"Visit website
support@appliqato.com
Privacy Policy
Jacovides Tower 1st floor 81-83 Grivas Digenis Avenue, 1090 Nicosia-CYPRUS",AppliqatoTools,Completely free,No Interactive Elements,"June 13, 2020","Rated for 3+
Learn More","100,000,000+","2,232,324 total",Appliqato,3.8,4.0 and up,10.0M,6.08.6
Tic Tac Toe Glow,"Visit website
support@arclitebd.com
Privacy Policy
56 South Bashabo Islam Villa Dhaka 1214 Bangladesh",Arclite SystemsCasual,"₹10.00 - ₹14,000.00 per item",No Interactive Elements,"June 26, 2020","Rated for 3+
Learn More","50,000,000+","563,055 total",Arclite Systems,4.1,Varies with device,Varies with device,Varies with device
J Balvin - Morado,"Visit website
ariwicaksono848@gmail.com
Privacy Policy
Jl Ikan Cakalang Kepatihan - Banyuwangi",Ari Wicaksono StudioMusic & Audio,Completely free,No Interactive Elements,"June 15, 2020","Rated for 3+
Learn More","1,000+",5 total,Ari Wicaksono Studio,4.8,5.0 and up,7.7M,3.0
How to Tie a Tie,"Visit website
info@artfonica.com
Privacy Policy
Gorsky, Novosibirsk 630032, Russia",ArtfonicaBooks & Reference,₹60.00 - ₹130.00 per item,"Users Interact, Digital Purchases","December 26, 2017","Rated for 3+
Learn More","10,000,000+","164,603 total",Artfonica,4.2,2.3 and up,12M,4.0.9
B.Com. MCQ KnowledgeBay,"Visit website
aseducationsolution@gmail.com
Privacy Policy
221/17/N, Kantaganj-3, Netaji Bazar, Ward No. 13 of Gayeshpur Municipality, P.O. - Kantaganj, P.S. - Kalyani, District - Nadia, West Bengal - 741250, India",AS EDUCATION SOLUTIONEducation,Completely free,In-App Purchases,"May 25, 2020","Rated for 3+
Learn More","10,000+",867 total,AS EDUCATION SOLUTION,4.3,5.0 and up,18M,12.6
Lamour Love All Over The World,"lamour_team@outlook.com
Privacy Policy
602B, 6th Floor, Building 3, No.1 Courtyard, Zhongguancun East Road, Haidian District，Beijing City,China",Lamour TeamSocial,"₹71.00 - ₹11,600.00 per item","Users Interact, Shares Location, In-App Purchases","June 16, 2020","Rated for 18+
Learn More","10,000,000+","565,866 total",Lamour Team,4.3,4.3 and up,30M,1.9.7
A+ Gallery - Photos & Videos,"Visit website
support@atomicadd.com
Privacy Policy
2870 Kaiser Dr, Santa Clara, CA 95051",AtomicAdd TeamPhotography,₹60.00 - ₹650.00 per item,"Users Interact, In-App Purchases","June 25, 2020","Rated for 3+
Learn More","10,000,000+","329,105 total",AtomicAdd Team,4.5,4.1 and up,6.7M,2.2.37.3
Q Relationships,"Visit website
onkar@aurumventures.in
Privacy Policy",Loma IT Park Developers Pvt LtdHouse & Home,Completely free,No Interactive Elements,"July 16, 2018","Rated for 3+
Learn More",500+,5 total,Loma IT Park Developers Pvt Ltd,4.2,4.1 and up,3.9M,2.3
Azar,"Visit website
help@azarlive.com
Privacy Policy
Zip code 06164, ASEM TOWER, 517, Yeongdong-daero, Gangnam-gu, Seoul, Republic of Korea",Hyperconnect incCommunication,"₹75.00 - ₹26,000.00 per item","Users Interact, Shares Location, In-App Purchases","June 24, 2020","Rated for 18+
Learn More","100,000,000+","1,506,346 total",Hyperconnect inc,4.0,Varies with device,Varies with device,Varies with device
Baahubali: The Game (Official),"Visit website
baahubali@moonfroglabs.com
Privacy Policy
16/3, Level 3, Adarsh Yellavarthy Centre Cambridge Road, Ulsoor Bangalore - 560008 Karnataka, India",MoonfrogStrategy,"₹10.00 - ₹7,900.00 per item","Users Interact, Digital Purchases","February 26, 2018","Rated for 7+
Mild Violence
Learn More","10,000,000+","230,955 total",Moonfrog,4.3,4.0.3 and up,Varies with device,1.0.105
"ALTBalaji - Watch Web Series, Originals & Movies","Visit website
developer@altdigital.in
Privacy Policy
C-13, Balaji House Dalia Industrial Estate New Link Road Andheri (West) Mumbai, 400053 India",ALT Digital Media Entertainment LtdEntertainment,₹10.00 - ₹850.00 per item,In-App Purchases,"April 20, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","10,000,000+","268,825 total",ALT Digital Media Entertainment Ltd,3.0,Varies with device,Varies with device,Varies with device
Gorilla G Unknown Simulator Battleground,"parkgamerz30@gmail.com
Privacy Policy
Peninsula, Hong Kong",Gamerz ParkAdventure,"₹85.00 - ₹1,250.00 per item",No Interactive Elements,"April 4, 2020","Rated for 12+
Horror
Learn More","100,000+","1,254 total",Gamerz Park,4.4,4.1 and up,Varies with device,1.22
DRAGON BALL Z DOKKAN BATTLE,"Visit website
ww_dragonballz_db_ad@net.bandai.co.jp
Privacy Policy
東京都港区芝5-37-8　バンダイナムコ未来研究所",BANDAI NAMCO Entertainment Inc.Action,"₹79.00 - ₹3,999.00 per item","Users Interact, Digital Purchases","June 22, 2020","Rated for 12+
Moderate Violence
Learn More","10,000,000+","947,045 total",BANDAI NAMCO Entertainment Inc.,4.6,4.4 and up,Varies with device,4.10.1
M-Connect Plus,"Visit website
mconnect@bankofbaroda.com
Privacy Policy",Bank of BarodaFinance,Completely free,No Interactive Elements,"May 15, 2020","Rated for 3+
Learn More","10,000,000+","298,678 total",Bank of Baroda,4.3,4.3 and up,31M,2.0
M-Connect Plus UK,"Visit website
dmd.uksub@bankofbaroda.com
Privacy Policy",Bank of BarodaFinance,Completely free,No Interactive Elements,"January 4, 2020","Rated for 3+
Learn More","100,000+",223 total,Bank of Baroda,3.9,4.3 and up,7.3M,1.0.1
"Messaging+ L SMS, MMS","barleycenter@gmail.com
Privacy Policy",BarleyMobilePersonalization,Completely free,No Interactive Elements,"July 26, 2019","Rated for 12+
Violence
Learn More","1,000,000+","10,313 total",BarleyMobile,4.0,4.0 and up,24M,7.67
Q: The Biggest Music Magazine,"appsupport_uk@bauermedia.com
Privacy Policy
Media House, Peterborough Business Park, Lynch Wood, Peterborough, PE2 6EA",Bauer Consumer Media LtdNews & Magazines,"₹45.00 - ₹2,750.00 per item",No Interactive Elements,"April 22, 2020","Rated for 16+
Strong Language
Learn More","1,000+",61 total,Bauer Consumer Media Ltd,3.5,5.0 and up,37M,3.22
"App Lock: Locker w/ fingerprint, Parental Control","Visit website
contact@maplemedia.io
Privacy Policy
283 boul Alexandre-Tache Suite F3020 Gatineau, Quebec J9A 1L8 Canada",JRummy AppsTools,₹55.00 - ₹790.00 per item,No Interactive Elements,"May 9, 2019","Rated for 3+
Learn More","1,000,000+","44,070 total",JRummy Apps,4.3,4.1 and up,12M,3.1.0
BTS J Hope Motorbike Adventure,"beardev46@gmail.com
Privacy Policy",Bear DevArcade,Completely free,No Interactive Elements,"October 25, 2018","Rated for 3+
Learn More","10,000+",39 total,Bear Dev,3.8,4.4 and up,15M,2.1
X32-Q,"Visit website
care@music-group.com
Privacy Policy
Otto-Brenner-Str. 4a 47877 Willich Deutschland",MUSIC Tribe Brands DE GmbHMusic & Audio,Completely free,No Interactive Elements,"June 1, 2015","Rated for 3+
Learn More","100,000+","1,225 total",MUSIC Tribe Brands DE GmbH,4.2,2.2 and up,5.2M,1.1
X AIR,"Visit website
care@music-group.com
Privacy Policy
Otto-Brenner-Str. 4a 47877 Willich Deutschland",MUSIC Tribe Brands DE GmbHMusic & Audio,Completely free,No Interactive Elements,"February 27, 2017","Rated for 3+
Learn More","500,000+","3,858 total",MUSIC Tribe Brands DE GmbH,4.3,4.0 and up,4.3M,1.5.5
Themes For Huawei P Smart Z & Launcher 2020,"Visit website
drandbas45@gmail.com
Privacy Policy",PsoftPersonalization,Completely free,No Interactive Elements,"April 24, 2020","Rated for 3+
Learn More","1,000+",196 total,Psoft,4.9,4.2 and up,9.5M,1.8
"Be U Salons Hair Deals In Delhi, Bangalore & Pune","Visit website
info@beusalons.com
Privacy Policy
Plot No 62, Okhla Phase 3, New Delhi – 110020",Be U SalonsLifestyle,Completely free,No Interactive Elements,"June 7, 2020","Rated for 3+
Learn More","100,000+","3,248 total",Be U Salons,4.4,4.4 and up,23M,1.1.4.127
U-Control,"Visit website
tech.support@bft.it
Privacy Policy",BFT s.p.aTools,Completely free,"Users Interact, Shares Info","October 1, 2019","Rated for 3+
Learn More","5,000+",42 total,BFT s.p.a,3.3,4.4 and up,13M,1.4
Sin City Crime Simulator V - Gangster,"limitlessgamespvtltd@gmail.com
Privacy Policy
Seattle, Washington United States",Limitless - Free GamesRole Playing,"₹800.00 - ₹15,000.00 per item",Digital Purchases,"November 13, 2018","Rated for 16+
Strong Violence
Learn More","500,000+","3,451 total",Limitless - Free Games,3.8,4.0.3 and up,Varies with device,Varies with device
Flow Free,"Visit website
android@bigduckgames.com
Privacy Policy
Big Duck Games LLC 95 Merrick Way, 3rd Floor Coral Gables, FL 33134",Big Duck Games LLCPuzzle,₹60.00 - ₹850.00 per item,Digital Purchases,"May 5, 2020","Rated for 3+
Learn More","100,000,000+","1,390,081 total",Big Duck Games LLC,4.4,4.1 and up,11M,4.7
Drag n Match: Block puzzle,"Visit website
where2gogogogo@gmail.com
Privacy Policy
19H,MAXGRAND PLAZA NO.3 TAI YAU STREET SAN PO KONG KL",BigPanda StudiosPuzzle,Completely free,In-Game Purchases,"June 10, 2020","Rated for 3+
Learn More","500,000+",479 total,BigPanda Studios,4.2,4.1 and up,48M,1.10.22
350+ C Tutorial Programs,"Visit website
biit.bhilai@gmail.com
67/6-B, Maitri Nagar (Risali) Bhilai, State: Chhattisgarh INDIA (490006)",Atul Kumar Soni at BIIT Computer EducationEducation,Completely free,No Interactive Elements,"October 4, 2015","Rated for 3+
Learn More","10,000+",147 total,Atul Kumar Soni at BIIT Computer Education,4.5,2.2 and up,6.4M,1.0
Live Talk - free video chat,"Visit website
livetalk-help@videokar.co.in
Privacy Policy
WAKAD, PUNE, MH-411057 IN",VideokarCommunication,Completely free,"Users Interact, In-App Purchases","June 24, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","50,000,000+","139,628 total",Videokar,3.8,4.1 and up,Varies with device,1.0.44
Sri M,"Visit website
media@satsang-foundation.org
Privacy Policy",The Satsang FoundationLifestyle,Completely free,No Interactive Elements,"January 27, 2020","Rated for 3+
Learn More","1,000+",52 total,The Satsang Foundation,4.3,5.0 and up,25M,1.9.0
Bloomberg B-Unit,"Visit website
mobisupport@bloomberg.net
Privacy Policy
731 Lexington Ave New York, New York 10022",Bloomberg LPTools,Completely free,No Interactive Elements,"January 28, 2020","Rated for 3+
Learn More","10,000+",150 total,Bloomberg LP,3.4,8.0 and up,11M,1.2.4
Blued - Gay Chat & Gay Dating & Find Guys Online,"Visit website
support@blued.zendesk.com
Privacy Policy
中国北京市朝阳区百子湾路苹果社区22街区2号楼b座028","Blue City Holdings Co., Ltd.Social","₹75.00 - ₹12,400.00 per item","Users Interact, Shares Info, Shares Location, Digital Purchases","June 23, 2020","Rated for 18+
Learn More","10,000,000+","159,988 total","Blue City Holdings Co., Ltd.",4.0,4.1 and up,72M,3.2.4
R:COM Mobile,"Visit website
support@bluetreesystems.com",Blue Tree Systems LtdBusiness,Completely free,No Interactive Elements,"March 14, 2019","Rated for 3+
Learn More","1,000+",24 total,Blue Tree Systems Ltd,3.9,4.0 and up,47M,1.4.10
Build a Bridge!,"Visit website
support@boombit.com
Privacy Policy
BoomBit Games Office 102 - 2 London Bridge Walk SE1 2SX London",BoomBit GamesPuzzle,"₹75.00 - ₹2,750.00 per item",Digital Purchases,"May 15, 2020","Rated for 3+
Learn More","10,000,000+","399,445 total",BoomBit Games,4.1,4.1 and up,66M,4.0.3
P站助手Lite-精美二次元壁纸采集工具,"Visit website
zzycami@foxmail.com
Privacy Policy
中国浙江省杭州市",周泽勇Entertainment,Completely free,"Users Interact, In-App Purchases","May 14, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","5,000+",0,周泽勇,-1,6.0 and up,7.8M,1.2.2
"Wynk Music - Download & Play Songs, MP3, HelloTune","Visit website
contact@wynk.in
Privacy Policy
Plot 16, Udyog Vihar Phase 4, Gurgaon - 122016",AirtelMusic & Audio,₹10.00 - ₹500.00 per item,Digital Purchases,"June 22, 2020","Rated for 3+
Learn More","100,000,000+","1,332,825 total",Airtel,4.5,5.0 and up,19M,3.6.2.0
R Mohanram,"Visit website
info@rmohanramthirumanasevai.com
Privacy Policy",BUDNETBusiness,Completely free,No Interactive Elements,"June 14, 2020","Rated for 3+
Learn More",500+,7 total,BUDNET,3.1,5.0 and up,3.4M,1.1
BYJU'S – The Learning App,"Visit website
care@byjus.com
Privacy Policy
2nd Floor, Tower D,IBC Knowledge Park, Bannerghatta Main Road, Bangalore-560029",BYJU'SEducation,Completely free,No Interactive Elements,"June 18, 2020","Rated for 3+
Learn More","50,000,000+","1,333,279 total",BYJU'S,4.5,5.0 and up,30M,6.1.2.8367
by.U - The All-Digital Provider,"Visit website
nindy@byu.id
Privacy Policy",by.ULifestyle,Completely free,"Users Interact, In-App Purchases","June 18, 2020","Rated for 3+
Learn More","1,000,000+","59,105 total",by.U,3.9,Varies with device,Varies with device,Varies with device
learn c programming,creativegame2018@gmail.com,CREATIVE GAMEEducation,Completely free,No Interactive Elements,"June 21, 2020","Rated for 3+
Learn More","1,000+",71 total,CREATIVE GAME,4.8,4.1 and up,3.1M,3.1
C Programs with Outputs,"Visit website
sandeep9821882868@gmail.com",Sandeep Gupta (Study Circle)Education,Completely free,No Interactive Elements,"September 24, 2015","Rated for 3+
Learn More","10,000+",611 total,Sandeep Gupta (Study Circle),4.8,2.2 and up,2.6M,1.6
"S Camera 🔥 for S9 / S10 camera, beauty, cool 2020","beautyappsstudio@gmail.com
Privacy Policy
Foshan Gongyuan road 1038",Beauty Apps StudioPhotography,"₹350.00 - ₹2,050.00 per item",No Interactive Elements,"June 3, 2020","Rated for 3+
Learn More","1,000,000+","20,557 total",Beauty Apps Studio,4.4,4.3 and up,27M,8.7
"Beauty Camera X 🔥 - Selfie Camera, Photo Editor","beautyappsstudio@gmail.com
Privacy Policy
Foshan Gongyuan road 1038",Beauty Apps StudioPhotography,"₹160.00 - ₹2,050.00 per item",No Interactive Elements,"June 20, 2020","Rated for 3+
Learn More","1,000,000+","6,402 total",Beauty Apps Studio,4.4,4.2 and up,36M,6.2
